feature_set,model,scenario,repeat,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,kappa,mcc
A1_S2_temporal,CatBoost,contiguous_20d,5,0.6933885786344802,0.3921820016025733,0.3768585228787735,0.3921820016025733,0.37438549983878683,0.6935258437620252,0.5910570509444604,0.5921967279193308
A1_S2_temporal,CatBoost,contiguous_20d,6,0.6896054764907223,0.3848703585905567,0.3813547095101549,0.3848703585905567,0.36915800283088634,0.6901141270239677,0.5856225918556005,0.5866928717462195
A1_S2_temporal,CatBoost,contiguous_20d,7,0.6892451810484598,0.3858690441803167,0.36946537702697746,0.3858690441803167,0.36745820340175034,0.6891292091897876,0.5852190311734344,0.5862722594626942
A1_S2_temporal,CatBoost,contiguous_20d,8,0.691046658259773,0.3914091022113793,0.3678590224467365,0.3914091022113793,0.3697041216575169,0.6923571414636811,0.5887350220373174,0.5899948421555796
A1_S2_temporal,CatBoost,contiguous_20d,9,0.6937488740767429,0.4016474091743817,0.3954011797945475,0.4016474091743817,0.38474690634352093,0.6945712920113111,0.5916937033420481,0.5928716641114261
A1_S2_temporal,CatBoost,contiguous_20d,10,0.6883444424428031,0.38181728067400444,0.36201233681545786,0.38181728067400444,0.3621317385930185,0.6892292835601734,0.5845912524271608,0.5858658747666734
A1_S2_temporal,CatBoost,contiguous_20d,11,0.6984327148261574,0.4006102206632578,0.3951186830097196,0.4006102206632578,0.3843478410500867,0.6979197827835012,0.5972129576213738,0.5982182053492925
A1_S2_temporal,CatBoost,contiguous_20d,12,0.691587101423167,0.38998164314581474,0.37404239499848096,0.38998164314581474,0.3735343553983887,0.6911286279527387,0.5881153130040985,0.5892405029770804
A1_S2_temporal,CatBoost,contiguous_20d,13,0.6941091695190056,0.3995596305049474,0.3800165451301408,0.3995596305049474,0.37967352916745867,0.6943189083759461,0.5917771595512995,0.5928329608676249
A1_S2_temporal,CatBoost,contiguous_20d,14,0.6933885786344802,0.40140507857318924,0.3749945273402745,0.40140507857318924,0.3788867424398348,0.6936366159922851,0.5915260104765743,0.5927448180804865
A1_S2_temporal,CatBoost,contiguous_40d,0,0.6762745451270041,0.3535279430163784,0.35125236479229555,0.3535279430163784,0.34053430054045014,0.6766566455033516,0.567372096366825,0.5687334732669017
A1_S2_temporal,CatBoost,contiguous_40d,1,0.6751936588002162,0.37083059165225063,0.37350053301646147,0.37083059165225063,0.3574691389716709,0.6759983661851658,0.5663832139323675,0.5679099724667046
A1_S2_temporal,CatBoost,contiguous_40d,2,0.6753738065213475,0.3627715982100046,0.3723161906147954,0.3627715982100046,0.35327329980839445,0.6769685437696662,0.5667273678778408,0.568206805773097
A1_S2_temporal,CatBoost,contiguous_40d,3,0.6721311475409836,0.3585593557872699,0.36682292786949355,0.3585593557872699,0.3469069569621033,0.6735838201569366,0.5627828865247959,0.5643170635940725
A1_S2_temporal,CatBoost,contiguous_40d,4,0.6669068636281751,0.369421400275507,0.3806919982854262,0.369421400275507,0.3556704137638394,0.669086377044318,0.5558138950141427,0.5573250996880418
A1_S2_temporal,CatBoost,contiguous_40d,5,0.6721311475409836,0.3575471084680295,0.3637902869537794,0.3575471084680295,0.3470981786462474,0.6741350355451711,0.5626548273001236,0.5643263748995944
A1_S2_temporal,CatBoost,contiguous_40d,6,0.671770852098721,0.3554719073982507,0.3631026151046846,0.3554719073982507,0.34533942814753743,0.673099024078553,0.5620915576022038,0.5636242188316125
A1_S2_temporal,CatBoost,contiguous_40d,7,0.6730318861466402,0.36236944569324253,0.36413248599926207,0.36236944569324253,0.3504894665575663,0.674669799426662,0.5638624421926663,0.5653050847066172
A1_S2_temporal,CatBoost,contiguous_40d,8,0.6683480453972257,0.353718530041582,0.35578806734917595,0.353718530041582,0.34128822254361396,0.6709852387529005,0.5580286904911471,0.5596617121776579
A1_S2_temporal,CatBoost,contiguous_40d,9,0.6757341019636102,0.3700859056610977,0.3804480655021342,0.3700859056610977,0.36077576430253555,0.6786615427758924,0.5680071783494629,0.5696178799336357
A1_S2_temporal,CatBoost,contiguous_40d,10,0.6633039092055486,0.34236115561841934,0.3365058975312208,0.34236115561841934,0.32906276033573667,0.6655917111301202,0.5509145400782544,0.552661879149465
A1_S2_temporal,CatBoost,contiguous_40d,11,0.679517204107368,0.37186733517888576,0.3754129157947031,0.37186733517888576,0.35838537292589145,0.6801366655186033,0.5720808072964447,0.5734348037239405
A1_S2_temporal,CatBoost,contiguous_40d,12,0.6735723293100342,0.36572532667810914,0.3607565724811255,0.36572532667810914,0.3521988615300693,0.6749387258149752,0.5649972306361744,0.5666056683849319
A1_S2_temporal,CatBoost,contiguous_40d,13,0.6751936588002162,0.3681676012932536,0.3730503993004656,0.3681676012932536,0.3560404757168832,0.6778293341181922,0.566644714110168,0.5681307188694303
A1_S2_temporal,CatBoost,contiguous_40d,14,0.6748333633579535,0.3620767106912074,0.3598442931423364,0.3620767106912074,0.34958034024689294,0.6768318528984014,0.5661913956779487,0.5677610377632958
A3_S1_S2_temporal,HistGradientBoosting,random_0,0,0.7330210772833724,0.3798382947981339,0.43592267306182814,0.3798382947981339,0.3909757509971785,0.7175390333748682,0.6346240017993029,0.6357064523304797
A3_S1_S2_temporal,HistGradientBoosting,random_20,0,0.7279769410916952,0.34916292061777676,0.42238656875583147,0.34916292061777676,0.36335000031592235,0.7094779417873149,0.625311530382429,0.627010321464179
A3_S1_S2_temporal,HistGradientBoosting,random_20,1,0.7270762024860385,0.35069677016442574,0.4459341026179227,0.35069677016442574,0.37011234300836937,0.7076954937360732,0.6234703278492038,0.6254637038901106
A3_S1_S2_temporal,HistGradientBoosting,random_20,2,0.7279769410916952,0.33981300167959827,0.40866518322423395,0.33981300167959827,0.35511992781947616,0.7086014190134391,0.6247578578596817,0.626751400819913
A3_S1_S2_temporal,HistGradientBoosting,random_20,3,0.7283372365339579,0.3547863366572356,0.4573950403785126,0.3547863366572356,0.37760374908524236,0.7098748927130776,0.6253266231254208,0.6272323896480222
A3_S1_S2_temporal,HistGradientBoosting,random_20,4,0.7213114754098361,0.345296960521766,0.41304460012984107,0.345296960521766,0.3607970369572096,0.7031668471709663,0.6162651459785111,0.6179981828555079
A3_S1_S2_temporal,HistGradientBoosting,random_20,5,0.7274364979283012,0.3507397161994824,0.43888193355963,0.3507397161994824,0.371019507040707,0.7086973686223068,0.6244498880056492,0.6262382339286591
A3_S1_S2_temporal,HistGradientBoosting,random_20,6,0.7261754638803819,0.33710005708063445,0.4248467032908376,0.33710005708063445,0.3561874833338064,0.7075006314555496,0.6225461137954449,0.6243344711658917
A3_S1_S2_temporal,HistGradientBoosting,random_20,7,0.7258151684381192,0.3551380149004778,0.43052183788350484,0.3551380149004778,0.3732040730795708,0.7067048623181653,0.6218091884021966,0.6236133590422126
A3_S1_S2_temporal,HistGradientBoosting,random_20,8,0.7245541343902,0.3445515933378332,0.4046356338398214,0.3445515933378332,0.3590726626607108,0.7062141912464212,0.6205890885845646,0.6221484178789315
A3_S1_S2_temporal,HistGradientBoosting,random_20,9,0.7303188614664025,0.3612642098228855,0.4518570542381116,0.3612642098228855,0.38108792984032125,0.7124808994900347,0.6287420673988073,0.6305038240216485
A3_S1_S2_temporal,HistGradientBoosting,random_20,10,0.7285173842550892,0.3553363062573466,0.4543462059142133,0.3553363062573466,0.3773059154553461,0.7096990245941361,0.6258436831333147,0.627677212511998
A3_S1_S2_temporal,HistGradientBoosting,random_20,11,0.7285173842550892,0.34663044200170606,0.4298029565762107,0.34663044200170606,0.36489300821142473,0.709647629839141,0.6255391457831396,0.6274875669356966
A3_S1_S2_temporal,HistGradientBoosting,random_20,12,0.7297784183030085,0.339074906150801,0.4299621843361626,0.339074906150801,0.35507257699560124,0.7099253797774452,0.6271661104942363,0.6291400110600851
A3_S1_S2_temporal,HistGradientBoosting,random_20,13,0.7283372365339579,0.36334103458307554,0.4573120956950439,0.36334103458307554,0.38337099344909215,0.710412584321928,0.6259115183203257,0.627595462494644
A3_S1_S2_temporal,HistGradientBoosting,random_20,14,0.7243739866690686,0.33570143219130644,0.42179043476230976,0.33570143219130644,0.3525571914220587,0.7053910262831852,0.6195430115342164,0.6215433275425932
A3_S1_S2_temporal,HistGradientBoosting,random_40,0,0.7141055665645829,0.31175137733512387,0.4630137930610304,0.31175137733512387,0.3392701188998084,0.6912530129584582,0.6015414771851182,0.605271315663256
A3_S1_S2_temporal,HistGradientBoosting,random_40,1,0.7135651234011889,0.29351307677028543,0.4121518065165705,0.29351307677028543,0.3127819129537558,0.6895607461083408,0.6006573296120248,0.6042116249257752
A3_S1_S2_temporal,HistGradientBoosting,random_40,2,0.7171680778238155,0.31396575043749764,0.4340324101445185,0.31396575043749764,0.3344508010621317,0.6948865233442696,0.6069016421230623,0.6100199082616466
A3_S1_S2_temporal,HistGradientBoosting,random_40,3,0.7128445325166637,0.3056594091434857,0.40237408380457373,0.3056594091434857,0.32582686306570413,0.6912089810539761,0.6008053286386809,0.6041539830597603
A3_S1_S2_temporal,HistGradientBoosting,random_40,4,0.7123040893532697,0.301634352419943,0.4057804990221557,0.301634352419943,0.3228976787616651,0.6885039634512009,0.5992427926448113,0.6028131258806918
A3_S1_S2_temporal,HistGradientBoosting,random_40,5,0.7114033507476131,0.3103884170563567,0.4228611402829865,0.3103884170563567,0.3331294656625929,0.6884256901891715,0.5985099628894834,0.6019756192462928
A3_S1_S2_temporal,HistGradientBoosting,random_40,6,0.7195099981985228,0.30649548561579815,0.4488539536530757,0.30649548561579815,0.3281784143952549,0.6962887153444908,0.6096024908378912,0.6129119092577106
A3_S1_S2_temporal,HistGradientBoosting,random_40,7,0.7141055665645829,0.2954377282121576,0.4093825474820403,0.2954377282121576,0.3152169025838363,0.6902576942630175,0.6018577573279575,0.6054524915386545
A3_S1_S2_temporal,HistGradientBoosting,random_40,8,0.7191497027562601,0.3117528890187203,0.42199176509676833,0.3117528890187203,0.3342114010159234,0.6966998878858693,0.6094634921175022,0.6128903788918482
