fold,feature,importance_mean,importance_std
0,S1D_VV__p06,-0.0006776379723359705,0.00038323073253096474
0,S1D_VV__p07,-0.0003102981229440027,0.0003102981229440027
0,S1D_VV__p08,0.0,0.0
0,S1D_VV__p09,-0.0021460824707316695,0.00037285568139355796
0,S1D_VV__p10,-0.0009460183510816289,0.0009460183510816289
0,S1D_VV__p11,-0.0001061929537069517,0.0
0,S1D_VV__p12,-0.001075163230153775,0.0017947956800928866
0,S1D_VV__p13,-0.0017123287671232668,0.0005707762557077556
0,S1D_VV__p14,0.002765671585384988,0.0034966939809711883
0,S1D_VV__p15,0.0,0.0
0,S1D_VV__p16,-0.0003158018607224422,0.0003158018607224422
0,S1D_VV__p17,-0.0001061929537069517,0.0
0,S1D_VV__p18,-0.0020947005936606533,0.00042840821889564284
0,S1D_VV__p19,-0.0008331461873825052,0.0008331461873825052
0,S1D_VV__p20,0.0,0.0
0,S1D_VH__p00,-0.002556181164438537,0.0003691863334454315
0,S1D_VH__p01,0.0001106537128512941,0.00047562102143389184
0,S1D_VH__p02,-0.0013594201222910107,0.0009457525455556781
0,S1D_VH__p03,0.0010938411724491226,0.0036064741205004414
0,S1D_VH__p04,0.00010687511122131621,0.0003102981229440305
0,S1D_VH__p05,0.00021319250591059213,0.00021319250591059213
0,S1D_VH__p06,0.00036778271561338505,0.00036778271561338505
0,S1D_VH__p07,-0.0029253674978839683,0.0
0,S1D_VH__p08,0.0,0.0
0,S1D_VH__p09,-0.005076642310561763,0.005368213514317044
0,S1D_VH__p10,0.0003090271980186188,0.0003090271980186188
0,S1D_VH__p11,-0.0004040489865825003,0.00025720164609052687
0,S1D_VH__p12,-0.0011484102859229128,0.00010403697641805931
0,S1D_VH__p13,-0.0003035648576606431,0.000985509597280665
0,S1D_VH__p14,0.0,0.0
0,S1D_VH__p15,-0.0012563164740256316,0.0006357202281376262
0,S1D_VH__p16,-0.0004136675767353326,0.0
0,S1D_VH__p17,0.0,0.0
0,S1D_VH__p18,-0.0019793491468023117,0.0009460183510816567
0,S1D_VH__p19,-0.004297007747494641,0.000857911290383595
0,S1D_VH__p20,-0.0009833888449737316,0.0009472175667105676
0,S1D_VVminusVH__p00,-0.0005166653978603275,0.0005166653978603275
0,S1D_VVminusVH__p01,0.0,0.0
0,S1D_VVminusVH__p02,-0.0018920367021632578,0.0
0,S1D_VVminusVH__p03,0.0031789318381990894,0.0031789318381990894
0,S1D_VVminusVH__p04,0.0,0.0
0,S1D_VVminusVH__p05,-0.0022509340260824795,0.00029947664652626993
0,S1D_VVminusVH__p06,0.0033074829105570747,0.00434081370627773
0,S1D_VVminusVH__p07,0.0,0.0
0,S1D_VVminusVH__p08,-0.004368440300720006,0.0013743964122361063
0,S1D_VVminusVH__p09,-0.0016837255295929776,0.0002083111725702802
0,S1D_VVminusVH__p10,-1.808563913158201e-05,1.808563913158201e-05
0,S1D_VVminusVH__p11,-0.0016662923747650105,0.0
0,S1D_VVminusVH__p12,-0.0011592196063806848,5.478350026935641e-05
0,S1D_VVminusVH__p13,-0.0013498115852428327,0.00031648078952217773
0,S1D_VVminusVH__p14,-0.0003102981229440027,0.0003102981229440027
0,S1D_VVminusVH__p15,0.0,0.0
0,S1D_VVminusVH__p16,-0.0010688834509159917,3.555265519533668e-05
0,S1D_VVminusVH__p17,-0.0011044361061113284,0.0
0,S1D_VVminusVH__p18,0.0,0.0
0,S1D_VVminusVH__p19,-1.808563913158201e-05,1.808563913158201e-05
0,S1D_VVminusVH__p20,0.007261796488522432,1.9016267548743748e-05
1,B2__p00,0.0004876853707790896,0.0004876853707790896
1,B2__p01,2.7642342920880525e-05,2.7642342920880525e-05
1,B2__p02,-0.0004830837352387818,0.0004830837352387818
1,B2__p03,0.0,0.0
1,B2__p04,-0.0041036609436191085,0.0050217790490625636
1,B2__p05,-0.014690661209053352,0.0005579481833662137
1,B2__p06,0.0,0.0
1,B2__p07,0.023812335292535902,0.009750286831787525
1,B2__p08,-0.0014175893466924772,0.0014175893466924772
1,B2__p09,-0.0001882942867012516,0.0004876853707790896
1,B2__p10,0.001418532967881747,0.00033510934924679825
1,B2__p11,0.0,0.0
1,B2__p12,0.0004876853707790896,0.0004876853707790896
1,B2__p13,-0.001958575971562654,0.0009924085010850903
1,B2__p14,-0.0012489410851900251,0.0012489410851900251
1,B2__p15,-8.03979740980898e-05,8.03979740980898e-05
1,B2__p16,-0.009072342420599983,0.0077728968948064525
1,B2__p17,0.0004876853707790896,0.0004876853707790896
1,B2__p18,-0.0006890407631255924,0.0027232923974258028
1,B2__p19,-0.00018621309081293114,0.00018621309081293114
1,B2__p20,-0.0012986472487548917,0.0006738824975097701
1,B3__p00,0.0,0.0
