feature_set,model,fold,validation_mode,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,kappa,mcc
A0_S2_static,HistGradientBoosting,2,spatial_grid_stratified_group,0.6132278936017254,0.2475387725326986,0.28870239464540115,0.2475387725326986,0.2576593171404018,0.597415959088118,0.46753897272798417,0.46827650659679354
A0_S2_static,HistGradientBoosting,3,spatial_grid_stratified_group,0.5899280575539568,0.23186821231796836,0.23493120684983032,0.23186821231796836,0.23119010093430156,0.5701168116723682,0.43122429992419187,0.43400826171090556
A0_S2_static,HistGradientBoosting,OOF,spatial_grid_stratified_group,0.6094397405872816,0.23539391819575275,0.2615085219103063,0.23539391819575275,0.2388333348812675,0.5911284534713579,0.46030239219069213,0.4614855196483672
A0_S2_static,MLP,0,spatial_grid_stratified_group,0.6782106782106783,0.2374345953537072,0.3058983489234721,0.2374345953537072,0.23124527347004495,0.6403910617335127,0.5446793967125014,0.5522970819404784
A0_S2_static,MLP,1,spatial_grid_stratified_group,0.6488439306358381,0.2264049453481221,0.21161560481948832,0.2264049453481221,0.21655762414591934,0.6120194149878031,0.5043856546650634,0.5106993147713668
A0_S2_static,MLP,2,spatial_grid_stratified_group,0.6376707404744788,0.23826956738361638,0.3728158313713459,0.23826956738361638,0.23987559201555858,0.6144229699649562,0.4970251141634412,0.49856566406860137
A0_S2_static,MLP,3,spatial_grid_stratified_group,0.6028776978417266,0.1986062587838646,0.19325541037296842,0.1986062587838646,0.19425585473111,0.5636860350762295,0.43319790204624353,0.43962025926851356
A0_S2_static,MLP,OOF,spatial_grid_stratified_group,0.6418663303909206,0.22512471245869653,0.3716305062370716,0.22512471245869653,0.22249811585428173,0.6083595833551924,0.49492679007259155,0.49953187948949673
A0_S2_static,XGBoost,0,spatial_grid_stratified_group,0.6507936507936508,0.22679285119463602,0.3357213487322801,0.22679285119463602,0.22820822891731002,0.6149898341573173,0.5065660120882589,0.5118536336189342
A0_S2_static,XGBoost,1,spatial_grid_stratified_group,0.6351156069364162,0.21868267157791627,0.2317352236027508,0.21868267157791627,0.21854678495364854,0.603724571230522,0.4856994846104261,0.49068884629555576
A0_S2_static,XGBoost,2,spatial_grid_stratified_group,0.6319194823867721,0.22162894266584454,0.3198138011635549,0.22162894266584454,0.22882980440457382,0.6033000380736157,0.4828061241903777,0.48530623375326265
