feature_set,model,test_season,mask_fraction,repeat,macro_f1,balanced_accuracy
S2_only,SVM_RBF,wheat_2023_24,0.6,2,0.1975638740344623,0.25357142857142856
S2_only,SVM_RBF,wheat_2023_24,0.6,3,0.1117948717948718,0.2
S2_only,SVM_RBF,wheat_2023_24,0.6,4,0.28888888888888886,0.37261904761904757
S2_only,SVM_RBF,wheat_2023_24,0.6,5,0.30483660130718954,0.36190476190476184
S2_only,SVM_RBF,wheat_2023_24,0.6,6,0.26093093093093095,0.3202380952380952
S2_only,SVM_RBF,wheat_2023_24,0.6,7,0.3241176470588235,0.3702380952380952
S2_only,SVM_RBF,wheat_2023_24,0.6,8,0.1806756756756757,0.23928571428571427
S2_only,SVM_RBF,wheat_2023_24,0.6,9,0.31186868686868685,0.33095238095238094
S2_only,SVM_RBF,wheat_2023_24,0.6,10,0.24648648648648647,0.3142857142857143
S2_only,SVM_RBF,wheat_2023_24,0.6,11,0.22807692307692307,0.28928571428571426
S2_only,SVM_RBF,wheat_2023_24,0.6,12,0.20277777777777778,0.2642857142857143
S2_only,SVM_RBF,wheat_2023_24,0.6,13,0.32666666666666666,0.3345238095238095
S2_only,SVM_RBF,wheat_2023_24,0.6,14,0.27476190476190476,0.32857142857142857
S2_only,SVM_RBF,wheat_2023_24,0.6,15,0.27194139194139194,0.3392857142857143
S2_only,SVM_RBF,wheat_2023_24,0.6,16,0.24888888888888888,0.3142857142857143
S2_only,SVM_RBF,wheat_2023_24,0.6,17,0.3241176470588235,0.3702380952380952
S2_only,SVM_RBF,wheat_2023_24,0.6,18,0.2603921568627451,0.3369047619047619
S2_only,SVM_RBF,wheat_2023_24,0.6,19,0.20483660130718956,0.25357142857142856
S2_only,SVM_RBF,wheat_2023_24,0.6,20,0.1806756756756757,0.23928571428571427
S2_only,SVM_RBF,wheat_2023_24,0.6,21,0.3030769230769231,0.3416666666666667
S2_only,SVM_RBF,wheat_2023_24,0.6,22,0.31161616161616157,0.34523809523809523
S2_only,SVM_RBF,wheat_2023_24,0.6,23,0.3488888888888889,0.38095238095238093
S2_only,SVM_RBF,wheat_2023_24,0.6,24,0.18666666666666668,0.24285714285714283
S2_only,SVM_RBF,wheat_2024_25,0.6,0,0.2542857142857143,0.3506944444444444
S2_only,SVM_RBF,wheat_2024_25,0.6,1,0.24945054945054945,0.32291666666666663
S2_only,SVM_RBF,wheat_2024_25,0.6,2,0.2985185185185185,0.3784722222222222
S2_only,SVM_RBF,wheat_2024_25,0.6,3,0.27999999999999997,0.3506944444444444
S2_only,SVM_RBF,wheat_2024_25,0.6,4,0.15238095238095237,0.22916666666666666
S2_only,SVM_RBF,wheat_2024_25,0.6,5,0.15384615384615385,0.22916666666666666
S2_only,SVM_RBF,wheat_2024_25,0.6,6,0.3175624375624375,0.3819444444444444
S2_only,SVM_RBF,wheat_2024_25,0.6,7,0.3033766233766234,0.3784722222222222
S2_only,SVM_RBF,wheat_2024_25,0.6,8,0.2837037037037037,0.3506944444444444
S2_only,SVM_RBF,wheat_2024_25,0.6,9,0.39282051282051283,0.4722222222222222
S2_only,SVM_RBF,wheat_2024_25,0.6,10,0.2564102564102564,0.3472222222222222
S2_only,SVM_RBF,wheat_2024_25,0.6,11,0.3022222222222222,0.35416666666666663
S2_only,SVM_RBF,wheat_2024_25,0.6,12,0.19428571428571428,0.2847222222222222
S2_only,SVM_RBF,wheat_2024_25,0.6,13,0.34914285714285714,0.4131944444444444
S2_only,SVM_RBF,wheat_2024_25,0.6,14,0.2942857142857143,0.3784722222222222
S2_only,SVM_RBF,wheat_2024_25,0.6,15,0.20084656084656083,0.2881944444444444
S2_only,SVM_RBF,wheat_2024_25,0.6,16,0.15478927203065135,0.2534722222222222
S2_only,SVM_RBF,wheat_2024_25,0.6,17,0.4176410256410256,0.4756944444444444
S2_only,SVM_RBF,wheat_2024_25,0.6,18,0.4228571428571429,0.5034722222222222
S2_only,SVM_RBF,wheat_2024_25,0.6,19,0.262,0.3819444444444444
S2_only,SVM_RBF,wheat_2024_25,0.6,20,0.2804195804195804,0.3819444444444444
S2_only,SVM_RBF,wheat_2024_25,0.6,21,0.23555555555555557,0.29166666666666663
S2_only,SVM_RBF,wheat_2024_25,0.6,22,0.16927899686520376,0.2569444444444444
S2_only,SVM_RBF,wheat_2024_25,0.6,23,0.2902857142857143,0.35416666666666663
S2_only,SVM_RBF,wheat_2024_25,0.6,24,0.30518518518518517,0.3784722222222222
S1_S2_fusion,RandomForest,wheat_2023_24,0.0,0,0.4957846210584547,0.5297619047619048
S1_S2_fusion,RandomForest,wheat_2023_24,0.0,1,0.4957846210584547,0.5297619047619048
S1_S2_fusion,RandomForest,wheat_2023_24,0.0,2,0.4957846210584547,0.5297619047619048
