field_id,latitude,longitude,period_start,B2,B3,B4,B8,B11,B12,NDVI,NDWI,NDMI,EVI,SAVI,VV,VH,VV_VH_ratio_raw,VV_VH_ratio_dB,optical_valid,sar_valid,optical_source_tile,sar_source_tile,season_day,growth_stage_pseudo
GEE-PIXEL-1001,29.61781658401427,77.06053550987465,2025-10-07,0.0670999959111213,0.0888999998569488,0.1139000058174133,0.1481000036001205,0.2089000046253204,0.1758500039577484,0.1307467520236969,-0.2412438690662384,-0.1684773564338684,0.0605395585298538,0.0661452338099479,-8.919530868530273,-18.145511627197266,0.4915558099746704,9.225980758666992,1,1,6,6,128.0,Maturity
GEE-PIXEL-1001,29.61781658401427,77.06053550987465,2025-10-23,,,,,,,,,,,,-8.340269088745117,-19.51407814025879,0.4273975789546966,11.173809051513672,0,1,-1,6,144.0,
GEE-PIXEL-1002,29.51765433851857,76.7519856082992,2025-06-01,0.0467000007629394,0.0861999988555908,0.1249500066041946,0.1694499999284744,0.2783499956130981,0.2615000009536743,0.1580830067396164,-0.3299341201782226,-0.2284362018108368,0.0708360821008682,0.0840106755495071,-14.19074821472168,-23.70093536376953,0.5987421274185181,9.510187149047852,1,1,3,3,0.0,Sowing/Planting
GEE-PIXEL-1002,29.51765433851857,76.7519856082992,2025-06-17,,,,,,,,,,,,-12.731578826904297,-23.918344497680664,0.5240578055381775,11.186765670776367,0,1,-1,3,16.0,
GEE-PIXEL-1002,29.51765433851857,76.7519856082992,2025-07-03,,,,,,,,,,,,-14.855856895446776,-32.0473747253418,0.4635592401027679,17.19151782989502,0,1,-1,3,32.0,
GEE-PIXEL-1002,29.51765433851857,76.7519856082992,2025-07-19,,,,,,,,,,,,-10.031257629394531,-21.360855102539062,0.4696093797683716,11.329597473144531,0,1,-1,3,48.0,
GEE-PIXEL-1002,29.51765433851857,76.7519856082992,2025-08-04,,,,,,,,,,,,-10.877665519714355,-17.061914443969727,0.6394904255867004,6.184248924255371,0,1,-1,3,64.0,
GEE-PIXEL-1002,29.51765433851857,76.7519856082992,2025-08-20,,,,,,,,,,,,-11.547014236450195,-17.135631561279297,0.6738598346710205,5.588617324829102,0,1,-1,3,80.0,
GEE-PIXEL-1002,29.51765433851857,76.7519856082992,2025-09-05,0.0375999994575977,0.0549999997019767,0.0342499986290931,0.3985999822616577,0.1910499930381775,0.1014999970793724,0.8440642952919006,-0.7598496675491333,0.3518656194210052,0.6892310380935669,0.5860255360603333,-12.945740699768066,-18.43565559387207,0.7022121548652649,5.489914894104004,1,1,3,3,96.0,Flowering
GEE-PIXEL-1002,29.51765433851857,76.7519856082992,2025-09-21,0.0219999998807907,0.0476000010967254,0.0287999995052814,0.3720000088214874,0.1747999936342239,0.0970999971032142,0.8575851321220398,-0.7731172442436218,0.3643194139003753,0.6252277493476868,0.5714920163154602,-11.430024147033691,-16.853395462036133,0.6787508130073547,5.423371315002441,1,1,3,3,112.0,Grain Filling
GEE-PIXEL-1002,29.51765433851857,76.7519856082992,2025-10-07,0.0208999998867511,0.0615999996662139,0.0390000008046627,0.3831999897956848,0.2221000045537948,0.130400002002716,0.8152534365653992,-0.7230215668678284,0.2661489844322204,0.5841026306152344,0.5598568320274353,-11.2393217086792,-15.423553466796877,0.7287116050720215,4.184231758117678,1,1,3,3,128.0,Grain Filling
GEE-PIXEL-1002,29.51765433851857,76.7519856082992,2025-10-23,,,,,,,,,,,,-11.176709175109863,-17.021608352661133,0.6566189527511597,5.8448991775512695,0,1,-1,3,144.0,
